                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2681,                0.68304,                      1,                   1.19,             0.00023382,             0.00023382,             0.00023382
                      2,                 0.7574,                0.89732,                      1,                0.96024,             0.00046715,             0.00046715,             0.00046715
                      3,                0.42788,                0.96875,                      1,                0.82254,             0.00069577,             0.00069577,             0.00069577
                      4,                0.29388,                0.95982,                      1,                0.81445,             0.00069279,             0.00069279,             0.00069279
                      5,                0.27159,                0.96429,                      1,                0.80127,             0.00068573,             0.00068573,             0.00068573
                      6,                0.23387,                0.96875,                      1,                0.79555,             0.00067866,             0.00067866,             0.00067866
                      7,                0.24148,                0.96875,                      1,                 0.7906,             0.00067159,             0.00067159,             0.00067159
                      8,                 0.1998,                0.97768,                      1,                0.77944,             0.00066452,             0.00066452,             0.00066452
                      9,                0.18779,                0.96875,                      1,                0.78167,             0.00065745,             0.00065745,             0.00065745
                     10,                0.19841,                0.98214,                      1,                0.77783,             0.00065038,             0.00065038,             0.00065038
                     11,                0.19418,                0.98214,                      1,                0.78502,             0.00064331,             0.00064331,             0.00064331
                     12,                0.20072,                0.97321,                      1,                0.78167,             0.00063625,             0.00063625,             0.00063625
                     13,                0.14453,                0.96875,                      1,                0.78202,             0.00062918,             0.00062918,             0.00062918
                     14,                0.17066,                0.97321,                      1,                0.78557,             0.00062211,             0.00062211,             0.00062211
                     15,                0.12678,                0.97321,                      1,                 0.7869,             0.00061504,             0.00061504,             0.00061504
                     16,                0.13904,                0.96875,                      1,                0.78411,             0.00060797,             0.00060797,             0.00060797
                     17,                0.15508,                0.96875,                      1,                0.78669,              0.0006009,              0.0006009,              0.0006009
                     18,                0.17575,                0.96875,                      1,                0.78795,             0.00059383,             0.00059383,             0.00059383
                     19,                0.17068,                0.97768,                      1,                0.78146,             0.00058677,             0.00058677,             0.00058677
                     20,                0.12577,                0.96875,                      1,                0.78599,              0.0005797,              0.0005797,              0.0005797
                     21,                0.11853,                0.96875,                      1,                0.77916,             0.00057263,             0.00057263,             0.00057263
                     22,                0.12059,                0.95536,                      1,                0.78788,             0.00056556,             0.00056556,             0.00056556
                     23,                0.13157,                0.97768,                      1,                0.77769,             0.00055849,             0.00055849,             0.00055849
                     24,                 0.1546,                0.98661,                      1,                0.76855,             0.00055142,             0.00055142,             0.00055142
                     25,                 0.1653,                0.97768,                      1,                0.77574,             0.00054435,             0.00054435,             0.00054435
                     26,                0.10131,                0.95982,                      1,                0.78474,             0.00053728,             0.00053728,             0.00053728
                     27,                0.12051,                0.96875,                      1,                0.77992,             0.00053022,             0.00053022,             0.00053022
                     28,                0.11556,                0.96875,                      1,                0.78404,             0.00052315,             0.00052315,             0.00052315
                     29,                0.13146,                0.95982,                      1,                0.78683,             0.00051608,             0.00051608,             0.00051608
                     30,                0.09858,                0.98214,                      1,                 0.7772,             0.00050901,             0.00050901,             0.00050901
                     31,                0.08176,                0.97321,                      1,                0.77651,             0.00050194,             0.00050194,             0.00050194
                     32,                 0.1097,                0.97768,                      1,                0.77197,             0.00049487,             0.00049487,             0.00049487
                     33,                 0.1255,                0.97321,                      1,                0.77483,              0.0004878,              0.0004878,              0.0004878
                     34,                0.08269,                0.97768,                      1,                0.77211,             0.00048074,             0.00048074,             0.00048074
                     35,                0.14332,                0.98661,                      1,                 0.7703,             0.00047367,             0.00047367,             0.00047367
                     36,                0.15024,                0.98661,                      1,                0.76653,              0.0004666,              0.0004666,              0.0004666
                     37,                0.08663,                0.97768,                      1,                0.76814,             0.00045953,             0.00045953,             0.00045953
                     38,                0.08953,                0.97321,                      1,                  0.768,             0.00045246,             0.00045246,             0.00045246
                     39,                0.07184,                0.98661,                      1,                0.76918,             0.00044539,             0.00044539,             0.00044539
                     40,                0.08012,                0.97768,                      1,                0.77148,             0.00043832,             0.00043832,             0.00043832
                     41,                0.09441,                0.97321,                      1,                0.77504,             0.00043126,             0.00043126,             0.00043126
                     42,                0.11182,                0.97768,                      1,                0.77155,             0.00042419,             0.00042419,             0.00042419
                     43,                0.07608,                0.97768,                      1,                0.77148,             0.00041712,             0.00041712,             0.00041712
                     44,                0.11067,                0.97768,                      1,                0.77281,             0.00041005,             0.00041005,             0.00041005
                     45,                0.07677,                0.98214,                      1,                0.77476,             0.00040298,             0.00040298,             0.00040298
                     46,                 0.0888,                0.98214,                      1,                 0.7719,             0.00039591,             0.00039591,             0.00039591
                     47,                0.08804,                0.97321,                      1,                0.77644,             0.00038884,             0.00038884,             0.00038884
                     48,                 0.0639,                0.98214,                      1,                0.77232,             0.00038178,             0.00038178,             0.00038178
                     49,                0.10333,                0.97768,                      1,                0.77183,             0.00037471,             0.00037471,             0.00037471
                     50,                0.06675,                0.98214,                      1,                  0.771,             0.00036764,             0.00036764,             0.00036764
                     51,                0.08156,                0.96875,                      1,                0.77881,             0.00036057,             0.00036057,             0.00036057
                     52,                0.05641,                0.98661,                      1,                0.77316,              0.0003535,              0.0003535,              0.0003535
                     53,                0.06246,                0.97321,                      1,                0.77288,             0.00034643,             0.00034643,             0.00034643
                     54,                0.07874,                0.98661,                      1,                0.76744,             0.00033936,             0.00033936,             0.00033936
                     55,                 0.0634,                0.98661,                      1,                0.76646,              0.0003323,              0.0003323,              0.0003323
                     56,                0.07204,                0.98214,                      1,                0.76556,             0.00032523,             0.00032523,             0.00032523
                     57,                0.05273,                0.97768,                      1,                0.76786,             0.00031816,             0.00031816,             0.00031816
                     58,                0.09435,                0.96429,                      1,                0.77267,             0.00031109,             0.00031109,             0.00031109
                     59,                0.06271,                0.98214,                      1,                0.76814,             0.00030402,             0.00030402,             0.00030402
                     60,                0.07443,                0.97768,                      1,                0.76814,             0.00029695,             0.00029695,             0.00029695
                     61,                0.06721,                0.97768,                      1,                0.76897,             0.00028988,             0.00028988,             0.00028988
                     62,                0.05779,                0.98214,                      1,                0.76562,             0.00028282,             0.00028282,             0.00028282
                     63,                0.07257,                0.98661,                      1,                0.76444,             0.00027575,             0.00027575,             0.00027575
                     64,                0.04462,                0.97768,                      1,                0.76569,             0.00026868,             0.00026868,             0.00026868
                     65,                0.06487,                0.97768,                      1,                0.76604,             0.00026161,             0.00026161,             0.00026161
                     66,                0.07484,                0.98214,                      1,                 0.7673,             0.00025454,             0.00025454,             0.00025454
                     67,                0.05256,                0.98214,                      1,                0.76695,             0.00024747,             0.00024747,             0.00024747
                     68,                0.05451,                0.98661,                      1,                0.76535,              0.0002404,              0.0002404,              0.0002404
                     69,                0.06878,                0.98661,                      1,                0.76332,             0.00023334,             0.00023334,             0.00023334
                     70,                0.02921,                0.97768,                      1,                0.76514,             0.00022627,             0.00022627,             0.00022627
                     71,                0.05409,                0.97768,                      1,                0.76709,              0.0002192,              0.0002192,              0.0002192
                     72,                0.05194,                0.97768,                      1,                0.76556,             0.00021213,             0.00021213,             0.00021213
                     73,                0.06976,                0.98214,                      1,                0.76562,             0.00020506,             0.00020506,             0.00020506
                     74,                0.05641,                0.98214,                      1,                 0.7666,             0.00019799,             0.00019799,             0.00019799
                     75,                0.04415,                0.98661,                      1,                0.76395,             0.00019092,             0.00019092,             0.00019092
                     76,                0.04238,                0.98214,                      1,                0.76493,             0.00018385,             0.00018385,             0.00018385
                     77,                0.05433,                0.97768,                      1,                0.76939,             0.00017679,             0.00017679,             0.00017679
                     78,                0.04445,                0.97768,                      1,                0.76904,             0.00016972,             0.00016972,             0.00016972
                     79,                0.09209,                0.98214,                      1,                0.76828,             0.00016265,             0.00016265,             0.00016265
                     80,                0.09945,                0.97768,                      1,                0.76967,             0.00015558,             0.00015558,             0.00015558
                     81,                0.03599,                0.98214,                      1,                0.76967,             0.00014851,             0.00014851,             0.00014851
                     82,                0.05902,                0.97768,                      1,                0.77079,             0.00014144,             0.00014144,             0.00014144
                     83,                0.04803,                0.96875,                      1,                0.77393,             0.00013437,             0.00013437,             0.00013437
                     84,                0.05985,                0.97321,                      1,                0.76939,             0.00012731,             0.00012731,             0.00012731
                     85,                0.07344,                0.97768,                      1,                0.77107,             0.00012024,             0.00012024,             0.00012024
                     86,                0.06049,                0.97768,                      1,                 0.7673,             0.00011317,             0.00011317,             0.00011317
                     87,                0.07873,                0.98661,                      1,                0.76611,              0.0001061,              0.0001061,              0.0001061
                     88,                0.05442,                0.98214,                      1,                0.76821,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.03863,                0.98214,                      1,                0.76814,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.05253,                0.98661,                      1,                0.76932,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.04442,                0.98214,                      1,                0.76751,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.03708,                0.97768,                      1,                0.77002,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.04759,                0.98214,                      1,                0.76786,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.04728,                0.98214,                      1,                0.76786,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.06335,                0.97768,                      1,                0.76876,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.08613,                0.98661,                      1,                0.76744,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.04222,                0.97321,                      1,                0.77051,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.04839,                0.98214,                      1,                0.76709,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.04234,                0.97768,                      1,                0.76953,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.04365,                0.97768,                      1,                0.76876,             1.4209e-05,             1.4209e-05,             1.4209e-05
